,Year,County,VehicleTheft_sum,Violent_sum,Updated_County
0,2016,Alameda County,13922,10127,Alameda
1,2016,Alpine County,1,6,Alpine
2,2016,Amador County,61,92,Amador
3,2016,Butte County,1021,790,Butte
4,2016,Calaveras County,97,178,Calaveras
5,2016,Colusa County,26,46,Colusa
6,2016,Contra Costa County,6634,3895,Contra Costa
7,2016,Del Norte County,130,168,Del Norte
8,2016,El Dorado County,205,389,El Dorado
9,2016,Fresno County,5185,5981,Fresno
10,2016,Glenn County,70,103,Glenn
11,2016,Humboldt County,704,682,Humboldt
12,2016,Imperial County,547,676,Imperial
13,2016,Inyo County,33,114,Inyo
14,2016,Kern County,6477,5128,Kern
15,2016,Kings County,537,639,Kings
16,2016,Lake County,340,379,Lake
17,2016,Lassen County,43,225,Lassen
18,2016,Los Angeles County,47496,56351,Los Angeles
19,2016,Madera County,572,1024,Madera
20,2016,Marin County,540,475,Marin
21,2016,Mariposa County,22,80,Mariposa
22,2016,Mendocino County,199,606,Mendocino
23,2016,Merced County,1433,1488,Merced
24,2016,Modoc County,11,41,Modoc
25,2016,Mono County,12,37,Mono
26,2016,Monterey County,2518,1822,Monterey
27,2016,Napa County,222,598,Napa
28,2016,Nevada County,218,212,Nevada
29,2016,Orange County,8522,7275,Orange
30,2016,Placer County,642,622,Placer
31,2016,Plumas County,20,120,Plumas
32,2016,Riverside County,11610,7447,Riverside
33,2016,Sacramento County,6873,7734,Sacramento
34,2016,San Benito County,110,155,San Benito
35,2016,San Bernardino County,11657,10469,San Bernardino
36,2016,San Diego County,11019,10959,San Diego
37,2016,San Francisco County,5487,6269,San Francisco
38,2016,San Joaquin County,3542,6005,San Joaquin
39,2016,San Luis Obispo County,501,1115,San Luis Obispo
40,2016,San Mateo County,1627,1634,San Mateo
41,2016,Santa Barbara County,1220,1527,Santa Barbara
42,2016,Santa Clara County,9956,5423,Santa Clara
43,2016,Santa Cruz County,1454,1101,Santa Cruz
44,2016,Shasta County,872,1333,Shasta
45,2016,Sierra County,0,14,Sierra
46,2016,Siskiyou County,142,161,Siskiyou
47,2016,Solano County,2164,2022,Solano
48,2016,Sonoma County,885,1868,Sonoma
49,2016,Stanislaus County,3496,3366,Stanislaus
